Parameter,Type,Default,Description
``correlations.auto.calculate``,boolean,``True``,"Whether to compute 'auto' correlation"
``correlations.auto.warn_high_correlations``,boolean,``True``,"Show warning for correlations higher than the threshold"
``correlations.auto.threshold``,float,0.9,"Warning threshold"
``correlations.pearson.calculate``,boolean,``False``,"Whether to calculate Pearson correlation"
``correlations.pearson.warn_high_correlations``,boolean,``True``,"Show warning for correlations higher than the threshold"
``correlations.pearson.threshold``,float,0.9,"Warning threshold"
``correlations.spearman.calculate``,boolean,``False``,"Whether to calculate Spearman correlation"
``correlations.spearman.warn_high_correlations``,boolean,``False``,"Show warning for correlations higher than the threshold"
``correlations.spearman.threshold``,float,0.9,"Warning threshold"
``correlations.kendall.calculate``,boolean,``False``,"Whether to calculate Kendall rank correlation"
``correlations.kendall.warn_high_correlations``,boolean,``False``,"Show warning for correlations higher than the threshold"
``correlations.kendall.threshold``,float,0.9,"Warning threshold"
``correlations.phi_k.calculate``,boolean,``False``,"Whether to calculate Phi K correlation"
``correlations.phi_k.warn_high_correlations``,boolean,``False``,"Show warning for correlations higher than the threshold"
``correlations.phi_k.threshold``,float,0.9,"Warning threshold"
``correlations.cramers.calculate``,boolean,``False``,"Whether to calculate Cramer's V association coefficient"
``correlations.cramers.warn_high_correlations``,boolean,``True``,"Show warning for correlations higher than the threshold"
``correlations.cramers.threshold``,float,0.9,"Warning threshold"
